crop,season,district,year,selling_price_range,selling_location,industry_name
papaya,kharif,peddapalli,2023,2258–3688 ₹/quintal,nearest mandi,rural farmers hub
carrot,rabi,karimnagar,2021,3923–4778 ₹/quintal,industry buyer,deccan agri trading
hemp,kharif,medchal–malkajgiri,2020,3481–4901 ₹/quintal,nearest mandi,deccan agri trading
sugarcane,kharif,jogulamba gadwal,2021,3273–3705 ₹/quintal,nearest mandi,green harvest corp
wheat,rabi,jayashankar bhupalpally,2021,2322–3392 ₹/quintal,local market,green harvest corp
spices,rabi,sangareddy,2022,4504–5508 ₹/quintal,nearest mandi,krishi produce ltd
clove,kharif,jogulamba gadwal,2024,3158–3360 ₹/quintal,local market,rural farmers hub
potato,rabi,sangareddy,2021,817–2102 ₹/quintal,industry buyer,rural farmers hub
mustard,rabi,yadadri bhuvanagiri,2020,2796–3727 ₹/quintal,local market,bharat agro mills
lemon,kharif,nagarkurnool,2021,2856–3589 ₹/quintal,nearest mandi,green harvest corp
millets,kharif,rajanna sircilla,2023,4028–4995 ₹/quintal,local market,green harvest corp
soybean,kharif,mulugu,2020,3313–4167 ₹/quintal,nearest mandi,rural farmers hub
tomato,zaid,karimnagar,2021,1496–2309 ₹/quintal,industry buyer,bharat agro mills
rubber,kharif,mahabubabad,2021,3038–4307 ₹/quintal,nearest mandi,telangana agri exports
lychee,kharif,warangal rural,2024,3683–4002 ₹/quintal,local market,green harvest corp
maize,rabi,nizamabad,2022,2161–2496 ₹/quintal,local market,mandi connect ltd
turmeric,kharif,kamareddy,2022,7143–8421 ₹/quintal,local market,mandi connect ltd
apple,rabi,bhadradri kothagudem,2021,2994–3918 ₹/quintal,local market,green harvest corp
cinnamon,kharif,mahabubnagar,2021,2278–3110 ₹/quintal,industry buyer,deccan agri trading
tomato,kharif,adilabad,2023,1737–2307 ₹/quintal,nearest mandi,bharat agro mills
pulses,rabi,warangal urban,2021,2862–4054 ₹/quintal,nearest mandi,krishi produce ltd
tea,kharif,sangareddy,2023,3463–3864 ₹/quintal,industry buyer,rural farmers hub
jowar,rabi,sangareddy,2020,3181–3953 ₹/quintal,local market,mandi connect ltd
banana,kharif,nalgonda,2024,4181–5465 ₹/quintal,local market,krishi produce ltd
bottle gourd,kharif,peddapalli,2022,4008–4801 ₹/quintal,nearest mandi,bharat agro mills
grapes,rabi,kumuram bheem asifabad,2023,3105–3579 ₹/quintal,industry buyer,mandi connect ltd
ginger,kharif,rangareddy,2020,2882–3442 ₹/quintal,local market,green harvest corp
okra,kharif,khammam,2022,3466–3699 ₹/quintal,industry buyer,bharat agro mills
clove,kharif,peddapalli,2020,3577–5027 ₹/quintal,industry buyer,bharat agro mills
pumpkin,kharif,jagtial,2024,3285–4341 ₹/quintal,nearest mandi,deccan agri trading
onion,kharif,nagarkurnool,2021,1061–1283 ₹/quintal,nearest mandi,green harvest corp
lemon,kharif,mancherial,2022,2797–3767 ₹/quintal,nearest mandi,rural farmers hub
ginger,kharif,kumuram bheem asifabad,2022,3033–3403 ₹/quintal,industry buyer,green harvest corp
guava,kharif,nirmal,2023,3161–4166 ₹/quintal,nearest mandi,mandi connect ltd
bajra,kharif,jayashankar bhupalpally,2023,4137–5548 ₹/quintal,nearest mandi,telangana agri exports
bitter gourd,kharif,nizamabad,2021,1986–2337 ₹/quintal,industry buyer,telangana agri exports
turmeric,kharif,rangareddy,2021,7148–7651 ₹/quintal,nearest mandi,mandi connect ltd
tomato,zaid,nagarkurnool,2023,1651–2127 ₹/quintal,industry buyer,green harvest corp
rice,kharif,jogulamba gadwal,2022,2402–2974 ₹/quintal,local market,rural farmers hub
urad,kharif,wanaparthy,2021,3007–3294 ₹/quintal,local market,bharat agro mills
apple,rabi,nalgonda,2022,3063–3820 ₹/quintal,industry buyer,mandi connect ltd
ginger,kharif,nizamabad,2021,3873–4799 ₹/quintal,local market,bharat agro mills
cotton,kharif,siddipet,2024,6192–6446 ₹/quintal,local market,agro industries ltd
ragi,kharif,nirmal,2024,2209–3325 ₹/quintal,nearest mandi,bharat agro mills
mango,kharif,mancherial,2022,3345–4499 ₹/quintal,industry buyer,telangana agri exports
potato,rabi,wanaparthy,2024,969–2034 ₹/quintal,local market,telangana agri exports
lychee,kharif,mahabubnagar,2020,2002–2489 ₹/quintal,industry buyer,rural farmers hub
bajra,kharif,warangal urban,2023,3713–3987 ₹/quintal,local market,green harvest corp
jowar,kharif,hyderabad,2020,3146–3515 ₹/quintal,local market,telangana agri exports
pulses,kharif,suryapet,2024,3364–4607 ₹/quintal,industry buyer,bharat agro mills
hemp,kharif,mahabubnagar,2024,2760–3103 ₹/quintal,nearest mandi,krishi produce ltd
arhar,kharif,nirmal,2021,3483–4580 ₹/quintal,industry buyer,green harvest corp
cauliflower,rabi,warangal urban,2020,2238–3217 ₹/quintal,nearest mandi,deccan agri trading
peach,rabi,jagtial,2020,3363–4696 ₹/quintal,nearest mandi,krishi produce ltd
groundnut,kharif,bhadradri kothagudem,2021,3660–4195 ₹/quintal,nearest mandi,deccan agri trading
millets,kharif,mahabubnagar,2022,4500–5610 ₹/quintal,local market,telangana agri exports
ginger,kharif,warangal rural,2024,3113–4582 ₹/quintal,nearest mandi,krishi produce ltd
lentil,rabi,mulugu,2021,3640–4376 ₹/quintal,nearest mandi,telangana agri exports
pumpkin,zaid,kamareddy,2020,3092–3870 ₹/quintal,industry buyer,agro industries ltd
tomato,kharif,nirmal,2020,1560–1905 ₹/quintal,nearest mandi,telangana agri exports
gram,rabi,medchal–malkajgiri,2021,3898–4753 ₹/quintal,local market,agro industries ltd
cauliflower,rabi,mancherial,2024,2535–2955 ₹/quintal,local market,krishi produce ltd
grapes,rabi,jangaon,2022,3285–4142 ₹/quintal,nearest mandi,krishi produce ltd
moong,kharif,medchal–malkajgiri,2020,3007–3585 ₹/quintal,industry buyer,deccan agri trading
rubber,kharif,jogulamba gadwal,2022,2616–3407 ₹/quintal,local market,telangana agri exports
bitter gourd,kharif,warangal rural,2021,2986–4342 ₹/quintal,industry buyer,agro industries ltd
brinjal,kharif,medchal–malkajgiri,2022,2087–2300 ₹/quintal,nearest mandi,mandi connect ltd
brinjal,kharif,nalgonda,2021,3649–4986 ₹/quintal,local market,green harvest corp
grapes,rabi,wanaparthy,2021,3198–3430 ₹/quintal,industry buyer,bharat agro mills
sesame,kharif,kamareddy,2024,2834–3315 ₹/quintal,nearest mandi,deccan agri trading
sunflower,zaid,adilabad,2024,1902–2768 ₹/quintal,nearest mandi,bharat agro mills
cotton,kharif,bhadradri kothagudem,2020,5102–6013 ₹/quintal,local market,green harvest corp
arhar,kharif,kamareddy,2024,3846–4592 ₹/quintal,local market,bharat agro mills
tomato,kharif,nalgonda,2022,1411–1929 ₹/quintal,local market,mandi connect ltd
soybean,kharif,suryapet,2020,3303–3941 ₹/quintal,nearest mandi,bharat agro mills
clove,kharif,nizamabad,2023,4145–4593 ₹/quintal,industry buyer,agro industries ltd
potato,rabi,mahabubabad,2021,940–1273 ₹/quintal,industry buyer,green harvest corp
wheat,rabi,khammam,2021,2200–2787 ₹/quintal,local market,green harvest corp
cabbage,rabi,jogulamba gadwal,2023,3437–4348 ₹/quintal,local market,green harvest corp
jute,kharif,mahabubnagar,2022,2966–3499 ₹/quintal,nearest mandi,krishi produce ltd
guava,kharif,rajanna sircilla,2020,3844–5134 ₹/quintal,local market,agro industries ltd
grapes,rabi,rangareddy,2023,2527–3296 ₹/quintal,nearest mandi,deccan agri trading
tomato,zaid,mahabubnagar,2020,1169–1427 ₹/quintal,nearest mandi,green harvest corp
jute,kharif,adilabad,2020,2985–3731 ₹/quintal,local market,agro industries ltd
beetroot,rabi,warangal rural,2022,2840–3867 ₹/quintal,nearest mandi,green harvest corp
garlic,rabi,medak,2024,2955–3952 ₹/quintal,industry buyer,deccan agri trading
cumin,rabi,jogulamba gadwal,2022,3536–4077 ₹/quintal,local market,green harvest corp
rice,kharif,suryapet,2024,1844–3295 ₹/quintal,industry buyer,green harvest corp
garlic,rabi,nirmal,2020,2977–3612 ₹/quintal,nearest mandi,deccan agri trading
peach,rabi,mulugu,2024,2481–3694 ₹/quintal,nearest mandi,green harvest corp
coriander,rabi,suryapet,2020,4500–5495 ₹/quintal,nearest mandi,green harvest corp
grapes,rabi,karimnagar,2024,3781–4068 ₹/quintal,nearest mandi,mandi connect ltd
lentil,rabi,mancherial,2021,4717–5962 ₹/quintal,local market,bharat agro mills
lentil,rabi,nalgonda,2023,2001–3322 ₹/quintal,local market,mandi connect ltd
lemon,kharif,kamareddy,2024,3287–3888 ₹/quintal,local market,rural farmers hub
barley,rabi,peddapalli,2024,4928–5196 ₹/quintal,industry buyer,deccan agri trading
